group,concept
sense,MX_es_AE
sense,MX_es_AR
sense,MX_es_AT
sense,MX_es_AU
sense,MX_es_BD
sense,MX_es_BE
sense,MX_es_BG
sense,MX_es_BR
sense,MX_es_BW
sense,MX_es_CA
sense,MX_es_CH
sense,MX_es_CL
sense,MX_es_CN
sense,MX_es_CO
sense,MX_es_CU
sense,MX_es_CZ
sense,MX_es_DE
sense,MX_es_EG
sense,MX_es_ET
sense,MX_es_FR
sense,MX_es_GB
sense,MX_es_GH
sense,MX_es_GR
sense,MX_es_HU
sense,MX_es_ID
sense,MX_es_IE
sense,MX_es_IL
sense,MX_es_IN
sense,MX_es_IT
sense,MX_es_JP
sense,MX_es_KE
sense,MX_es_KR
sense,MX_es_LB
sense,MX_es_LT
sense,MX_es_LV
sense,MX_es_MA
sense,MX_es_MX
sense,MX_es_MY
sense,MX_es_NA
sense,MX_es_NG
sense,MX_es_NL
sense,MX_es_NO
sense,MX_es_NZ
sense,MX_es_PE
sense,MX_es_PH
sense,MX_es_PK
sense,MX_es_PL
sense,MX_es_PT
sense,MX_es_RO
sense,MX_es_RS
sense,MX_es_RU
sense,MX_es_SA
sense,MX_es_SE
sense,MX_es_SG
sense,MX_es_SI
sense,MX_es_SK
sense,MX_es_SN
sense,MX_es_TH
sense,MX_es_TR
sense,MX_es_TW
sense,MX_es_TZ
sense,MX_es_UA
sense,MX_es_UG
sense,MX_es_US
sense,MX_es_VE
sense,MX_es_VN
sense,MX_es_ZA
sense,MX_es_ZW
